name,data,generator,model,p_value_mean
MMD,Circles,ClapROAR,Deep Ensemble,0.984
MMD,Circles,ClapROAR,Linear,1.0
MMD,Circles,ClapROAR,MLP,0.992
MMD,Circles,Generic (γ=0.5),Deep Ensemble,0.99
MMD,Circles,Generic (γ=0.5),Linear,1.0
MMD,Circles,Generic (γ=0.5),MLP,0.994
MMD,Circles,Generic (γ=0.9),Deep Ensemble,0.9960000000000001
MMD,Circles,Generic (γ=0.9),Linear,1.0
MMD,Circles,Generic (γ=0.9),MLP,0.992
MMD,Circles,Gravitational,Deep Ensemble,0.998
MMD,Circles,Gravitational,Linear,1.0
MMD,Circles,Gravitational,MLP,0.998
MMD,Circles,Latent,Deep Ensemble,1.0
MMD,Circles,Latent,Linear,1.0
MMD,Circles,Latent,MLP,1.0
MMD,Linearly Separable,ClapROAR,Deep Ensemble,0.0
MMD,Linearly Separable,ClapROAR,Linear,0.0
MMD,Linearly Separable,ClapROAR,MLP,0.0
MMD,Linearly Separable,Generic (γ=0.5),Deep Ensemble,0.0
MMD,Linearly Separable,Generic (γ=0.5),Linear,0.0
MMD,Linearly Separable,Generic (γ=0.5),MLP,0.0
MMD,Linearly Separable,Generic (γ=0.9),Deep Ensemble,0.0
MMD,Linearly Separable,Generic (γ=0.9),Linear,0.0
MMD,Linearly Separable,Generic (γ=0.9),MLP,0.0
MMD,Linearly Separable,Gravitational,Deep Ensemble,0.05
MMD,Linearly Separable,Gravitational,Linear,0.092
MMD,Linearly Separable,Gravitational,MLP,0.078
MMD,Linearly Separable,Latent,Deep Ensemble,0.724
MMD,Linearly Separable,Latent,Linear,0.75
MMD,Linearly Separable,Latent,MLP,0.742
MMD,Moons,ClapROAR,Deep Ensemble,0.0
MMD,Moons,ClapROAR,Linear,0.0
MMD,Moons,ClapROAR,MLP,0.0
MMD,Moons,Generic (γ=0.5),Deep Ensemble,0.0
MMD,Moons,Generic (γ=0.5),Linear,0.0
MMD,Moons,Generic (γ=0.5),MLP,0.0
MMD,Moons,Generic (γ=0.9),Deep Ensemble,0.0
MMD,Moons,Generic (γ=0.9),Linear,0.0
MMD,Moons,Generic (γ=0.9),MLP,0.0
MMD,Moons,Gravitational,Deep Ensemble,0.0
MMD,Moons,Gravitational,Linear,0.0
MMD,Moons,Gravitational,MLP,0.0
MMD,Moons,Latent,Deep Ensemble,0.0
MMD,Moons,Latent,Linear,0.0
MMD,Moons,Latent,MLP,0.0
MMD,Overlapping,ClapROAR,Deep Ensemble,0.0
MMD,Overlapping,ClapROAR,Linear,0.0
MMD,Overlapping,ClapROAR,MLP,0.0
MMD,Overlapping,Generic (γ=0.5),Deep Ensemble,0.0
MMD,Overlapping,Generic (γ=0.5),Linear,0.0
MMD,Overlapping,Generic (γ=0.5),MLP,0.0
MMD,Overlapping,Generic (γ=0.9),Deep Ensemble,0.0
MMD,Overlapping,Generic (γ=0.9),Linear,0.0
MMD,Overlapping,Generic (γ=0.9),MLP,0.0
MMD,Overlapping,Gravitational,Deep Ensemble,0.0
MMD,Overlapping,Gravitational,Linear,0.0
MMD,Overlapping,Gravitational,MLP,0.0
MMD,Overlapping,Latent,Deep Ensemble,0.0
MMD,Overlapping,Latent,Linear,0.0
MMD,Overlapping,Latent,MLP,0.0
PP MMD,Circles,ClapROAR,Deep Ensemble,0.998
PP MMD,Circles,ClapROAR,Linear,0.9960000000000001
PP MMD,Circles,ClapROAR,MLP,0.998
PP MMD,Circles,Generic (γ=0.5),Deep Ensemble,0.998
PP MMD,Circles,Generic (γ=0.5),Linear,0.8
PP MMD,Circles,Generic (γ=0.5),MLP,1.0
PP MMD,Circles,Generic (γ=0.9),Deep Ensemble,0.998
PP MMD,Circles,Generic (γ=0.9),Linear,0.9960000000000001
PP MMD,Circles,Generic (γ=0.9),MLP,1.0
PP MMD,Circles,Gravitational,Deep Ensemble,0.9780000000000001
PP MMD,Circles,Gravitational,Linear,0.0
PP MMD,Circles,Gravitational,MLP,0.986
PP MMD,Circles,Latent,Deep Ensemble,1.0
PP MMD,Circles,Latent,Linear,0.0
PP MMD,Circles,Latent,MLP,0.998
PP MMD,Linearly Separable,ClapROAR,Deep Ensemble,0.9620000000000001
PP MMD,Linearly Separable,ClapROAR,Linear,0.916
PP MMD,Linearly Separable,ClapROAR,MLP,0.9579999999999999
PP MMD,Linearly Separable,Generic (γ=0.5),Deep Ensemble,0.922
PP MMD,Linearly Separable,Generic (γ=0.5),Linear,0.0
PP MMD,Linearly Separable,Generic (γ=0.5),MLP,0.916
PP MMD,Linearly Separable,Generic (γ=0.9),Deep Ensemble,0.968
PP MMD,Linearly Separable,Generic (γ=0.9),Linear,0.376
PP MMD,Linearly Separable,Generic (γ=0.9),MLP,0.968
